Constructos;PubMed;Scopus
Constructo nº 1: amiloidosis AL;2256;7854
Constructo nº 2: biomarcadores;456220;1534684
Constructo nº 3: bioinformática;1048738;9937624
Constructo nº 4: outcomes;2974639;10623112
Combinación constructos;744;1780
Combinación con filtros de búsqueda;419;884
