"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kero T.; Lindsjö L.; Sörensen J.; Lubberink M.","Kero, Tanja (55585333000); Lindsjö, Lars (55585075800); Sörensen, Jens (57201018830); Lubberink, Mark (21636115700)","55585333000; 55585075800; 57201018830; 21636115700","Accurate analysis and visualization of cardiac 11C-PIB uptake in amyloidosis with semiautomatic software","2016","Journal of Nuclear Cardiology","23","4","","741","750","18","10.1007/s12350-015-0149-9","https://www.scopus.com/pages/publications/84979077004?origin=resultslist","Background: 11C-PIB PET is a promising non-invasive diagnostic tool for cardiac amyloidosis. Semiautomatic analysis of PET data is now available but it is not known how accurate these methods are for amyloid imaging. The aim of this study was to evaluate the feasibility of one semiautomatic software tool for analysis and visualization of 11C-PIB left ventricular retention index (RI) in cardiac amyloidosis. Methods and results: Patients with systemic amyloidosis and cardiac involvement (n = 10) and healthy controls (n = 5) were investigated with dynamic 11C-PIB PET. Two observers analyzed the PET studies with semiautomatic software to calculate the left ventricular RI of 11C-PIB and to create parametric images. The mean RI at 15-25 min from the semiautomatic analysis was compared with RI based on manual analysis and showed comparable values (0.056 vs 0.054 min−1 for amyloidosis patients and 0.024 vs 0.025 min−1 in healthy controls; P = .78) and the correlation was excellent (r = 0.98). Inter-reader reproducibility also was excellent (intraclass correlation coefficient, ICC > 0.98). Parametric polarmaps and histograms made visual separation of amyloidosis patients and healthy controls fast and simple. Conclusion: Accurate semiautomatic analysis of cardiac 11C-PIB RI in amyloidosis patients is feasible. Parametric polarmaps and histograms make visual interpretation fast and simple. © 2015, American Society of Nuclear Cardiology.","Amyloid; C-11 PIB; cardiac amyloidosis; PET imaging","Aged; Amyloidosis; Benzothiazoles; Biomarkers; Female; Heart; Heart Failure; Humans; Image Enhancement; Image Interpretation, Computer-Assisted; Male; Middle Aged; Myocardium; Observer Variation; Pattern Recognition, Automated; Positron-Emission Tomography; Radiopharmaceuticals; Reproducibility of Results; Sensitivity and Specificity; Tissue Distribution; carbon 11; Pittsburgh compound B; benzothiazole derivative; biological marker; N-methyl-2-(4'-methylaminophenyl)-6-hydroxybenzothiazole; radiopharmaceutical agent; adult; aged; Article; clinical article; computer program; controlled study; diagnostic accuracy; diagnostic imaging; heart amyloidosis; heart left ventricle; human; image analysis; isotope labeling; PET-CT scanner; positron emission tomography; priority journal; amyloidosis; automated pattern recognition; cardiac muscle; computer assisted diagnosis; diagnostic imaging; female; heart; heart failure; image enhancement; male; metabolism; middle aged; observer variation; procedures; reproducibility; sensitivity and specificity; tissue distribution","Article","Final","","Scopus","2-s2.0-84979077004"
"Hong Z.; Xue S.; Yu J.; Calabretta R.; Haberl D.; Jiang Z.; Grünert S.; Beitzke D.; Kammerlander A.; Hacker M.; Li X.","Hong, Zhihui (55531987700); Xue, Song (57405641100); Yu, Josef (57926773400); Calabretta, Raffaella (55536055600); Haberl, David (58619719300); Jiang, Zewen (59011901800); Grünert, Stefan (59120985200); Beitzke, Dietrich (24778059000); Kammerlander, Andreas (55987901800); Hacker, Marcus (8597740700); Li, Xiang (57205588751)","55531987700; 57405641100; 57926773400; 55536055600; 58619719300; 59011901800; 59120985200; 24778059000; 55987901800; 8597740700; 57205588751","Total-body 11C-PIB PET/CT imaging of systemic amyloidosis: inter-organ connectivity in cardiac amyloidosis for prognostic insights","2025","European Journal of Nuclear Medicine and Molecular Imaging","52","13","","4985","4999","2","10.1007/s00259-025-07308-w","https://www.scopus.com/pages/publications/105004342711?origin=resultslist","Background: Amyloidosis is a systemic disorder characterized by amyloid fibril deposition in multiple organs, including the heart, brain, liver, kidneys, and lungs, leading to organ dysfunction and affecting survival. In cardiac amyloidosis (CA), where the heart is primarily affected, the broader impact on other organs, particularly the brain, is not fully understood. This study aimed to assess the extent of amyloid deposition across systemic organs in CA, investigate brain-organ, brain-brain and organ-organ connections, and evaluate their effects on patients’ survival. Methods: A retrospective analysis was conducted on 70 patients, categorized into three groups by biopsy: cardiac amyloidosis (CA) (n = 31), non-cardiac amyloidosis (non-CA) (n = 12), and no amyloidosis control (NC) (n = 27). 11C-PIB PET/CT scans were performed, and standard uptake value mean (SUVmean) values were extracted using automated segmentation techniques. Brain-organ, brain-brain, organ-organ connectivity analyses were conducted using Spearman correlation. Survival outcomes and prognostic factors were evaluated using Kaplan–Meier analysis. Results: Amyloid deposition in CA patients was prominent in the myocardium, liver, and kidneys, reflected by increased SUVmean values. Significant brain-organ connectivity was observed, particularly between the posterior cingulate cortex (PCC), parietal lobes, and myocardial amyloid burden. Additionally, CA patients demonstrated markedly stronger inter-organ connectivity, indicating systemic involvement. In contrast, Non-CA and NC patients demonstrated weaker brain-organ and inter-organ interactions. The CA group exhibited a higher mortality rate, highlighting the severe prognosis, particularly in systemic CA (SCA). Furthermore, elevated amyloid deposition in the bone marrow, lungs and spleen within SCA group was strongly associated with increased mortality. Conclusion: In CA patients, amyloidosis was associated with extensive systemic involvement, as shown by significant brain-organ and inter-organ connectivity patterns. Findings emphasize that cardiac amyloidosis substantially impacts survival, particularly when accompanied by amyloid deposition in the bone marrow, lungs, and spleen, indicating the need for a comprehensive diagnostic and management approach. Clinical trial number: Not applicable. © The Author(s) 2025.","         <sup>11</sup>C-PIB PET/CT; Organ connectivity; Survival analysis; Systemic amyloidosis","Aged; Amyloidosis; Aniline Compounds; Female; Humans; Male; Middle Aged; Positron Emission Tomography Computed Tomography; Prognosis; Retrospective Studies; Thiazoles; Whole Body Imaging; amyloid; amyloid beta protein; biological marker; gadolinium; Pittsburgh compound B; 2-(4'-(methylamino)phenyl)-6-hydroxybenzothiazole; aniline derivative; thiazole derivative; 11C-PIB PET/CT; Amyloid deposition; Amyloid fibril; Bone marrow; Broader impacts; CT imaging; Mean values; Organ connectivity; Survival analysis; Systemic amyloidosis; aged; amyloidosis; Article; biopsy; bone marrow; cardiac muscle; cardiovascular magnetic resonance; clinical outcome; cohort analysis; controlled study; correlation analysis; correlation coefficient; disease severity; echocardiography; evaluation study; female; heart amyloidosis; human; human tissue; image analysis; image segmentation; interorgan interaction; Kaplan Meier method; kidney; liver; lung; major clinical study; male; mean standardized uptake value; mortality; mortality rate; outcome assessment; parietal lobe; positron emission tomography-computed tomography; posterior cingulate; prognosis; quantitative analysis; retrospective study; spleen; standardized uptake value; survival; tissue distribution; amyloidosis; diagnostic imaging; metabolism; middle aged; whole body imaging","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105004342711"
"Sidana S.; Larson D.P.; Greipp P.T.; He R.; McPhail E.D.; Dispenzieri A.; Murray D.L.; Dasari S.; Ansell S.M.; Muchtar E.; Gonsalves W.I.; Kourelis T.V.; Ramirez-Alvarado M.; Kapoor P.; Rajkumar S.V.; Lacy M.Q.; Buadi F.K.; Leung N.; Kyle R.A.; Kumar S.K.; King R.L.; Gertz M.A.","Sidana, Surbhi (55241252200); Larson, Daniel P. (57211860789); Greipp, Patricia T. (23466890100); He, Rong (57203160012); McPhail, Ellen D. (6602384671); Dispenzieri, Angela (7004528670); Murray, David L. (7401737081); Dasari, Surendra (8393836400); Ansell, Stephen M. (7006431962); Muchtar, Eli (35798774800); Gonsalves, Wilson I. (35332180400); Kourelis, Taxiarchis V. (6603257686); Ramirez-Alvarado, Marina (6603439246); Kapoor, Prashant (23980628300); Rajkumar, S. Vincent (7007085917); Lacy, Martha Q. (35395115200); Buadi, Francis K. (13608409000); Leung, Nelson (7006841128); Kyle, Robert A. (56480009100); Kumar, Shaji K. (8332091800); King, Rebecca L. (57199358810); Gertz, Morie A. (35394863200)","55241252200; 57211860789; 23466890100; 57203160012; 6602384671; 7004528670; 7401737081; 8393836400; 7006431962; 35798774800; 35332180400; 6603257686; 6603439246; 23980628300; 7007085917; 35395115200; 13608409000; 7006841128; 56480009100; 8332091800; 57199358810; 35394863200","IgM AL amyloidosis: delineating disease biology and outcomes with clinical, genomic and bone marrow morphological features","2020","Leukemia","34","5","","1373","1382","52","10.1038/s41375-019-0667-6","https://www.scopus.com/pages/publications/85075695706?origin=resultslist","This study evaluates newly diagnosed IgM (6%, n = 75/1174) vs. non-IgM light chain amyloidosis patients. IgM amyloid patients had lower light chains (12.5 vs. 22.5 mg/dL; p < 0.001). Heart (56% vs. 73%, p = 0.002) and >1 organ involvement (31% vs. 44%, p = 0.02) was less common in IgM amyloidosis, while soft tissue and peripheral nerve involvement was more common. t(11;14) was less common (27% vs. 50%, p = 0.008) in IgM amyloidosis. Rates of MYD88L265P and CXCR4WHIM mutation in IgM amyloidosis were 58% (29/50) and 17% (8/46). Diagnosis after hematopathology review in IgM amyloidosis was pure plasma cell neoplasm (PPCN) in 23% (16/70), lymphoplasmacytic neoplasm (LPL) in 63% (44/70) patients, and other (14%). LPL vs. PPCN groups had distinct genetic abnormalities: t(11;14): 0% (0/18) vs. 60% (9/15), p < 0.001; MYD88L265P mutation: 84% (27/32) vs. 0% (0/14), p < 0.001; CXCR4 mutation: 29% (8/28) vs. 0% (0/14), p = 0.04. Overall survival was shorter in IgM AL when stratified by Mayo 2012 stage; stage 1/2 (59 vs. 125.9 months, p = 0.003) and stage 3/4 (6.5 vs. 12.9 months, p = 0.075), likely due to lower hematologic response rates (6 months: 39% vs. 59%, p = 0.008). We characterized two subtypes of IgM amyloidosis (LPL/PPCN). This can aid in therapeutic decision-making, with treatment directed at the clonal disease. © 2019, The Author(s), under exclusive licence to Springer Nature Limited.","","Aged; Antineoplastic Combined Chemotherapy Protocols; Biomarkers, Tumor; Bone Marrow; Combined Modality Therapy; Female; Follow-Up Studies; Humans; Immunoglobulin Light-chain Amyloidosis; Immunoglobulin M; Male; Middle Aged; Prognosis; Retrospective Studies; Stem Cell Transplantation; Survival Rate; Transplantation, Autologous; amyloid; bortezomib; chemokine receptor CXCR4; immunoglobulin M; myeloid differentiation factor 88; rituximab; antineoplastic agent; immunoglobulin M; tumor marker; adult; aged; AL amyloidosis; Article; bone marrow; bone marrow biopsy; clinical feature; cohort analysis; controlled study; decision making; flow cytometry; fluorescence in situ hybridization; gene mutation; genetic disorder; genomics; heart; human; immunohistochemistry; light chain; major clinical study; male; mass spectrometry; overall survival; peripheral nerve; phenotype; plasma cell; plasmacytoma; priority journal; retrospective study; soft tissue; Waldenstroem macroglobulinemia; AL amyloidosis; autotransplantation; female; follow up; genetics; immunology; middle aged; mortality; multimodality cancer therapy; pathology; prognosis; stem cell transplantation; survival rate","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85075695706"
"Bhogal S.; Ladia V.; Sitwala P.; Cook E.; Bajaj K.; Ramu V.; Lavie C.J.; Paul T.K.","Bhogal, Sukhdeep (57190956460); Ladia, Vatsal (55751160400); Sitwala, Puja (56429624100); Cook, Emilie (57224600424); Bajaj, Kailash (56428707500); Ramu, Vijay (8393928800); Lavie, Carl J. (7005486850); Paul, Timir K. (56941418300)","57190956460; 55751160400; 56429624100; 57224600424; 56428707500; 8393928800; 7005486850; 56941418300","Cardiac Amyloidosis: An Updated Review With Emphasis on Diagnosis and Future Directions","2018","Current Problems in Cardiology","43","1","","10","34","78","10.1016/j.cpcardiol.2017.04.003","https://www.scopus.com/pages/publications/85019061026?origin=resultslist","Cardiac amyloidosis occurs because of abnormal protein (amyloid) deposition in the cardiac tissue. Even with advanced diagnostic techniques and treatments, the prognosis of amyloidosis remains poor. The diagnosis of cardiac amyloidosis particularly needs to be in the differential in patients presenting with heart failure with preserved ejection fraction. This entity remains underdiagnosed due to lack of suspicion on the part of many clinicians. Involvement of cardiac tissue is the utmost determinant factor for available treatment options and prognosis. Many cases of cardiac amyloidosis usually remain undiagnosed or diagnosed only in advanced stages when treatment options are limited and associated with poor survival. Hence, early recognition of cardiac amyloidosis is indispensable in halting the disease process before irreversible changes occur. The purpose of this review is to summarize the recent updates in the evaluation and management of cardiac amyloidosis and to discuss potential future treatments options. © 2018 Elsevier Inc.","","Amyloid; Amyloidosis; Biomarkers; Cardiomyopathies; Disease Management; Heart Failure; Humans; Myocardium; Prognosis; (technetium 3,3 diphosphono 1,2 propanodicarboxylic acid); amyloid; apixaban; beta adrenergic receptor blocking agent; bortezomib; brain natriuretic peptide; carfilzomib; cyclophosphamide; dabigatran; dexamethasone; diflunisal; dipeptidyl carboxypeptidase inhibitor; doxycycline; gadolinium; ionis ttrrx; ixazomib; loop diuretic agent; melphalan; patisiran; pomalidomide; prealbumin; radioisotope; revusiran; rivaroxaban; tafamidis; tauroursodeoxycholic acid; technetium 99m; thalidomide; unclassified drug; unindexed drug; warfarin; amyloid; biological marker; AA amyloidosis; AL amyloidosis; amyloidosis; Article; atrial fibrillation; ATTR amyloidosis; autologous hematopoietic stem cell transplantation; cardiomyopathy; cardiovascular magnetic resonance; chemotherapy; dialysis; dialysis related amyloidosis; diastolic dysfunction; ecchymosis; echocardiography; electrocardiography; familial amyloidosis; fine needle aspiration biopsy; heart amyloidosis; heart failure; heart failure with preserved ejection fraction; heart muscle biopsy; heart muscle conduction system; heart transplantation; histopathology; human; laboratory test; liver transplantation; macroglossia; paraproteinemia; physical examination; positron emission tomography; protein function; purpura; skin bruising; amyloidosis; cardiac muscle; cardiomyopathy; complication; disease management; heart failure; metabolism; prognosis","Article","Final","","Scopus","2-s2.0-85019061026"
"Suesskind D.; Ziemssen F.; Rohrbach J.M.","Suesskind, D. (12779131200); Ziemssen, F. (10440328700); Rohrbach, J.M. (55941925800)","12779131200; 10440328700; 55941925800","Conjunctival amyloidosis — clinical and histopathologic features","2015","Graefe's Archive for Clinical and Experimental Ophthalmology","253","8","","1377","1383","24","10.1007/s00417-015-2932-3","https://www.scopus.com/pages/publications/84938419279?origin=resultslist","Purpose: Conjunctival amyloidosis is a rare disorder. It is often clinically not suspected or diagnosed. This study intended to demonstrate the clinical and histopathologic features of this infrequent disease, including an immunohistochemical search for amyloidotic proteins. Methods: Retrospective case series of the clinical and histopathologic characteristics of six patients with conjunctival amyloidosis. Immunohistochemical analysis with respect to possible amyloidotic components of the conjunctival deposits was performed. Results: The diagnosis of amyloidosis was not suspected in all six cases presenting with an amelanotic conjunctival lesion. In three patients a conjunctival tumor of unknown origin, in one case each a papillomatous alteration of the conjunctiva, a conjunctival granulomatous inflammation, and a lymphoma were assumed respectively. The diagnosis of amyloidosis was made by histopathology. Immunohistochemical examination found lambda and kappa light chains as well as prealbumin within the amyloid deposits in one of the six specimens. Conclusions: The diagnosis of amyloidosis has to be kept in mind in cases with an unclear conjunctival mass or inflammatory process. Only a tissue biopsy is able to prove the diagnosis. A possible underlying systemic disease has to be ruled out. © 2015, Springer-Verlag Berlin Heidelberg.","Conjunctival amlyoidosis; Conjunctival hemorrhage; Conjunctival tumor; Pathology","Adult; Aged; Amyloidosis; Biomarkers; Conjunctival Diseases; Conjunctival Neoplasms; Female; Humans; Immunoenzyme Techniques; Immunoglobulin kappa-Chains; Immunoglobulin lambda-Chains; Male; Middle Aged; Prealbumin; Retrospective Studies; Serum Amyloid A Protein; amyloid; prealbumin; biological marker; immunoglobulin kappa chain; immunoglobulin lambda chain; prealbumin; serum amyloid A; adult; aged; amyloidosis; Article; biopsy; clinical article; clinical feature; conjunctiva; conjunctiva tumor; conjunctival amyloidosis; conjunctival deposit; controlled study; female; granulomatous inflammation; histopathology; human; human tissue; immunohistochemistry; light chain; lymphoma; male; middle aged; priority journal; retrospective study; amyloidosis; case report; Conjunctival Diseases; Conjunctival Neoplasms; enzyme immunoassay; metabolism","Article","Final","","Scopus","2-s2.0-84938419279"
"Hwang I.-C.; Chun E.J.; Kim P.K.; Kim M.; Park J.; Choi H.-M.; Yoon Y.E.; Cho G.-Y.; Choi B.W.","Hwang, In-Chang (57204537916); Chun, Eun Ju (14019107400); Kim, Pan Ki (57192982487); Kim, Myeongju (57195411203); Park, Jiesuck (57201723554); Choi, Hong-Mi (55549622900); Yoon, Yeonyee E. (23570162400); Cho, Goo-Yeong (7201438119); Choi, Byoung Wook (16554128500)","57204537916; 14019107400; 57192982487; 57195411203; 57201723554; 55549622900; 23570162400; 7201438119; 16554128500","Automated extracellular volume fraction measurement for diagnosis and prognostication in patients with light-chain cardiac amyloidosis","2025","PLoS ONE","20","1 January","e0317741","","","2","10.1371/journal.pone.0317741","https://www.scopus.com/pages/publications/85216298024?origin=resultslist","Aims T1 mapping on cardiac magnetic resonance (CMR) imaging is useful for diagnosis and prognostication in patients with light-chain cardiac amyloidosis (AL-CA). We conducted this study to evaluate the performance of T1 mapping parameters, derived from artificial intelligence (AI)-automated segmentation, for detection of cardiac amyloidosis (CA) in patients with left ventricular hypertrophy (LVH) and their prognostic values in patients with AL-CA. Methods and results A total of 300 consecutive patients who underwent CMR for differential diagnosis of LVH were analyzed. CA was confirmed in 50 patients (39 with AL-CA and 11 with transthyretin amyloidosis), hypertrophic cardiomyopathy in 198, hypertensive heart disease in 47, and Fabry disease in 5. A semi-automated deep learning algorithm (Myomics-Q) was used for the analysis of the CMR images. The optimal cutoff extracellular volume fraction (ECV) for the differentiation of CA from other etiologies was 33.6% (diagnostic accuracy 85.6%). The automated ECV measurement showed a significant prognostic value for a composite of cardiovascular death and heart failure hospitalization in patients with AL-CA (revised Mayo stage III or IV) (adjusted hazard ratio 4.247 for ECV ?40%, 95% confidence interval 1.215?14.851, p-value = 0.024). Incorporation of automated ECV measurement into the revised Mayo staging system resulted in better risk stratification (integrated discrimination index 27.9%, p = 0.013; categorical net reclassification index 13.8%, p = 0.007). Conclusions T1 mapping on CMR imaging, derived from AI-automated segmentation, not only allows for improved diagnosis of CA from other etiologies of LVH, but also provides significant prognostic value in patients with AL-CA. © 2025 Hwang et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Aged; Artificial Intelligence; Cardiomyopathies; Female; Humans; Hypertrophy, Left Ventricular; Immunoglobulin Light-chain Amyloidosis; Magnetic Resonance Imaging; Male; Middle Aged; Prognosis; amino terminal pro brain natriuretic peptide; creatine kinase MB; gadobutrol; transthyretin; troponin I; adult; AL amyloidosis; area under the curve; Article; artificial intelligence; automation; body mass; cardiovascular magnetic resonance; cardiovascular parameters; clinical outcome; cohort analysis; controlled study; deep learning; diagnostic accuracy; diagnostic test accuracy study; diastolic blood pressure; echocardiography; extracellular volume fraction measurement; Fabry disease; female; gene mutation; glomerulus filtration rate; heart amyloidosis; heart ejection fraction; heart failure; heart left ventricle enddiastolic volume; heart left ventricle endsystolic volume; heart muscle biopsy; hematocrit; hemoglobin blood level; hospitalization; human; hypertension; hypertrophic cardiomyopathy; learning algorithm; left atrial volume index; left ventricular global longitudinal strain; left ventricular hypertrophy; left ventricular mass index; major clinical study; male; measurement; middle aged; prognosis; receiver operating characteristic; retrospective study; scintigraphy; systolic blood pressure; tricuspid valve regurgitation; aged; AL amyloidosis; cardiomyopathy; diagnosis; diagnostic imaging; nuclear magnetic resonance imaging; pathology; procedures; prognosis","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85216298024"
"Nakagawa M.; Yazaki M.; Kametani F.; Katoh N.; Yoshinaga T.; Higuchi K.; Sekijima Y.","Nakagawa, Mayuko (57218709715); Yazaki, Masahide (7005251280); Kametani, Fuyuki (24311161400); Katoh, Nagaaki (18836193800); Yoshinaga, Tsuneaki (37027677100); Higuchi, Keiichi (7402162965); Sekijima, Yoshiki (7004141714)","57218709715; 7005251280; 24311161400; 18836193800; 37027677100; 7402162965; 7004141714","Development of diagnostic antibodies against immunoglobulin heavy chain variable region for heavy chain amyloidosis (AH amyloidosis)","2021","Pathology International","71","4","","245","254","2","10.1111/pin.13081","https://www.scopus.com/pages/publications/85102461328?origin=resultslist","It is difficult to diagnose immunoglobulin heavy chain amyloidosis (AH amyloidosis) without proteomic analysis due to no useful diagnostic antibodies. The aim of this study was to develop diagnostic antibodies available to immunohistochemistry and immunoblotting. Two rabbit anti-heavy chain variable region antibodies were generated and evaluated in immunohistochemical studies performed on 11 AH amyloidosis patients and 64 patients with other systemic amyloidoses. Additionally, immunoblotting was performed using extracted amyloid protein from one patient and serum samples from two patients with AH amyloidosis. Immunohistochemical analysis generated a positive outcome in 10 of 11 AH amyloidosis patients (sensitivity 90.9%). While positive staining was also observed in 9 of 64 non-AH amyloidosis patients (specificity 85.9%), substitution of the blocking agent reversed the positive reactivity in 5 of 9 patients. Amyloid protein band was clearly detected via immunoblotting analysis, and protein bands with similar molecular weights of amyloid protein were observed in serum samples from patients with AH amyloidosis. The two antibodies may represent a powerful diagnostic tool for AH amyloidosis. In addition, our data revealed the existence of amyloidogenic variable region fragments in the serum of patients, suggesting their potential as diagnostic markers for AH amyloidosis. © 2021 Japanese Society of Pathology and John Wiley & Sons Australia, Ltd","AH amyloidosis; diagnostic antibody; immunoglobulin heavy chain; immunohistochemistry; variable region","Amyloidosis; Antibodies; Humans; Immunoglobulin Heavy Chains; Immunohistochemistry; Immunologic Tests; amyloid protein; beta 2 microglobulin; blocking agent; gelsolin; heavy chain variable region 1 antibody; heavy chain variable region 2 antibody; immunoglobulin antibody; immunoglobulin G kappa; immunoglobulin G lambda; immunoglobulin heavy chain; immunoglobulin M kappa; immunoglobulin M lambda; synthetic peptide; transthyretin; unclassified drug; antibody; immunoglobulin heavy chain; AA amyloidosis; adult; aged; AL amyloidosis; amyloidosis; Article; ATTR amyloidosis; B cell lymphoma; beta 2 microglobulin amyloidosis; blood sampling; clinical article; controlled study; diagnostic accuracy; DNA determination; female; gelsolin related amyloidosis; goat milk; goat serum; human; human tissue; immunoblotting; immunoglobulin heavy chain amyloidosis; immunoglobulin variable region; immunohistochemistry; kidney biopsy; kidney disease; male; neuropathy; onset age; plasma cell dyscrasia; polyacrylamide gel electrophoresis; priority journal; sensitivity and specificity; sequence analysis; serum; skim milk; amyloidosis; immunological procedures; immunology; procedures","Article","Final","","Scopus","2-s2.0-85102461328"
"Lalario A.; Saro R.; Sinagra G.; Merlo M.; Porcari A.","Lalario, Andrea (57755674600); Saro, Riccardo (57216799595); Sinagra, Gianfranco (7005062509); Merlo, Marco (23768475100); Porcari, Aldostefano (57201271007)","57755674600; 57216799595; 7005062509; 23768475100; 57201271007","Clinical Use of Biomarkers in Cardiac Amyloidosis","2024","Heart Failure Clinics","20","3","","283","294","2","10.1016/j.hfc.2024.03.001","https://www.scopus.com/pages/publications/85189431071?origin=resultslist","[No abstract available]","Amyloidosis; Biomarkers; Diagnosis; Light chains; Prognosis; Transthyretin; Treatment","Amyloidosis; Biomarkers; Cardiomyopathies; Humans; Prognosis; alanine aminotransferase; alkaline phosphatase; amyloid; aspartate aminotransferase; bilirubin; biological marker; creatinine; gamma glutamyltransferase; natriuretic factor; neurofilament protein; retinol binding protein 4; transthyretin; troponin; biological marker; AL amyloidosis; amyloidosis; ATTR amyloidosis; estimated glomerular filtration rate; follow up; heart amyloidosis; human; international normalized ratio; kidney; liver; monoclonal immunoglobulinemia; peripheral nervous system; Review; treatment response; amyloidosis; cardiomyopathy; diagnosis; metabolism; prognosis","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85189431071"
"Badar T.; D'souza A.; Hari P.","Badar, Talha (56086086800); D'souza, Anita (57208907307); Hari, Parameswaran (12760213200)","56086086800; 57208907307; 12760213200","Recent advances in understanding and treating immunoglobulin light chain amyloidosis.","2018","F1000Research","7","","1348","","","16","10.12688/f1000research.15353.1","https://www.scopus.com/pages/publications/85052967237?origin=resultslist","Immunoglobulin (Ig) light chain (AL) amyloidosis is a clonal plasma cell disorder characterized by misfolded Ig light chain deposition in vital organs of the body, resulting in proteotoxicity and organ dysfunction. Owing to its diverse clinical presentations and a tendency to mimic common medical conditions, AL amyloidosis is often diagnosed late and results in dismal outcomes. Early referral to a specialized center with expertise in management of AL amyloidosis is always recommended. The availability of sensitive biomarkers and novel therapies is reforming our approach to how we manage AL amyloidosis. Treatment for patients with AL amyloidosis should be risk-adapted and customized on the basis of individual patient characteristics. In the future, approaches directed at amyloid fibril clearance in combination with agents that target plasma cells will be needed both to eradicate the malignant clone and to establish organ responses. © 2018 Badar T et al.","AL amyloidosis; Autologous transplant for AL amyloidosis; Cardiac amyloidosis; dFLC","Animals; Humans; Immunoglobulin Light Chains; Immunoglobulin Light-chain Amyloidosis; Myeloablative Agonists; biological marker; brain natriuretic peptide; daratumumab; doxycycline; immunoglobulin light chain; myeloablative agent; AL amyloidosis; autologous hematopoietic stem cell transplantation; cell clone; clinical feature; cytotoxicity; diagnostic imaging; diagnostic procedure; echocardiography; fibril; fluid therapy; human; immunotherapy; molecular pathology; organ injury; pathophysiology; protein analysis; Review; support group; treatment outcome; tropism; AL amyloidosis; animal; metabolism","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85052967237"
"Katoh N.; Matsushima A.; Kurozumi M.; Matsuda M.; Ikeda S.-I.","Katoh, Nagaaki (18836193800); Matsushima, Akira (55339171200); Kurozumi, Masahiro (8094892400); Matsuda, Masayuki (35237753600); Ikeda, Shu-Ichi (7404041945)","18836193800; 55339171200; 8094892400; 35237753600; 7404041945","Marked and rapid regression of hepatic amyloid deposition in a patient with systemic light chain (AL) amyloidosis after highdose melphalan therapy with stem cell transplantation","2014","Internal Medicine","53","17","","1991","1995","12","10.2169/internalmedicine.53.2065","https://www.scopus.com/pages/publications/84906824681?origin=resultslist","A 52-year-old woman with a high serum alkaline phosphatase (ALP) level underwent a liver biopsy, which showed diffuse heavy deposition of Aκ amyloid, and was diagnosed as having immunoglobulin light chain (AL) amyloidosis. Although she received high-dose melphalan with stem cell transplantation and achieved a hematologic complete response (CR), her ALP level began to increase one year after treatment. Further ex-aminations revealed that she was still in a CR state with dominant bone-type ALP, and re-biopsied liver specimens demonstrated marked regression of amyliod deposition, providing important evidence that the turnover of hepatic amyloid proteins can actually occur more rapidly than previously thought. © 2014 The Japanese Society of Internal Medicine.","Hepatic amyloidosis; Histological regression of amyloid; Light chain (AL) amyloidosis; Liver biopsy; Plasma cell dyscrasia","Amyloidosis; Antineoplastic Agents, Alkylating; Biopsy; Combined Modality Therapy; Diagnosis, Differential; Dose-Response Relationship, Drug; Female; Humans; Immunoglobulin Light Chains; Liver; Melphalan; Middle Aged; Remission Induction; Stem Cell Transplantation; Tomography, X-Ray Computed; Transplantation, Autologous; alkaline phosphatase; amyloid protein; brain natriuretic peptide; melphalan; alkylating agent; immunoglobulin light chain; melphalan; adult; amyloidosis; Article; case report; computer assisted tomography; drug megadose; echocardiography; female; flow cytometry; hepatic amyloidosis; hepatomegaly; histopathology; human; human tissue; light chain amyloidosis; light chain amyloidosis; liver biopsy; middle aged; plasma cell dyscrasia; remission; stem cell transplantation; treatment response; X ray; amyloidosis; autotransplantation; biopsy; differential diagnosis; dose response; liver; metabolism; multimodality cancer therapy; pathology","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84906824681"
